OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962590,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962591,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962592,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962593,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962594,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962595,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962596,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962597,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962598,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962599,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962600,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962601,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,GWR001      ,RT,PFL-35557763001,2020/06/18,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962602,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962603,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962604,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962605,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962606,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962607,SEDO,ADAMS,OH0100112   ,MANCHESTER VILLAGE,A,152615,1377,MANCHESTER WTP,EP001       ,RT,PFL-35557763002,2020/06/18,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
